Gene	Length	logFC	logCPM	F	PValue	FDR
AT5G58940	2578	2.04445968788276	3.55457864064026	318.588716996177	1.20612861436787e-13	1.9198851274159e-11
AT4G25110	1830	4.88759162390585	3.31192272285778	336.159590780157	1.21700867360179e-13	1.9198851274159e-11
AT2G45010	1771	1.77224821776616	4.30196748513574	318.194128687894	1.22014048327166e-13	1.9198851274159e-11
AT4G11890	1683	5.22986358052315	4.95447919681849	375.736141014928	1.23669100699727e-13	1.92721645676969e-11
AT3G20500	1542	1.41912470928981	5.97407781810526	316.363787052643	1.28752361501126e-13	1.98732335509404e-11
AT4G23570	1764	1.68661064216562	6.01306954745405	315.313745273494	1.32802346156376e-13	2.0304977586381e-11
AT1G67520	3210	2.76611864122046	2.45193051708299	314.201920393066	1.37244158380813e-13	2.07880006997929e-11
AT1G61250	1548	1.27590120959742	6.73693763824994	313.622047400542	1.3962551599099e-13	2.08369346573535e-11
AT1G27330	906	1.65730608553099	4.28370163740102	313.430707272567	1.40421246745338e-13	2.08369346573535e-11
AT4G04490	2268	5.01278526226381	4.27480746157147	356.790444413399	1.42405883795491e-13	2.08369346573535e-11
AT1G61360	3345	3.10647394455254	3.58877668510555	313.3376977931	1.42709924536696e-13	2.08369346573535e-11
AT5G60800	1380	3.05778601241499	3.5674127542011	312.893912395546	1.44084422684695e-13	2.08497878433112e-11
AT5G43470	3953	1.05621970617968	7.87260189871628	309.780785103799	1.56597989364873e-13	2.2460031979084e-11
AT1G30900	2567	4.670407070604	4.39431634945307	351.0725721358	1.61979789332118e-13	2.30281267167161e-11
AT1G78830	1956	2.32719908131542	7.7493819398782	310.741123166471	1.74838537472456e-13	2.46400711027486e-11
AT3G26320	1596	3.58332656104723	1.90236936260412	305.83297804619	1.76441282192713e-13	2.4651585004287e-11
AT2G45070	869	0.915876021671353	6.06350624539448	304.121500086324	1.85891305507145e-13	2.55821530825457e-11
AT2G44180	1780	1.27366727722771	5.12837736990096	303.850392452216	1.8743875294868e-13	2.55821530825457e-11
AT4G11850	3254	2.12020351026575	5.40556673929925	305.010667036524	1.8783712080107e-13	2.55821530825457e-11
AT3G03640	1765	1.66318397559955	3.98070645145111	302.051972803139	1.98070264748259e-13	2.67270850593009e-11
AT2G14610	902	7.41394779426829	4.32227510197368	362.766824772323	1.99542006057593e-13	2.67270850593009e-11
AT1G60140	4361	1.64861590780999	5.44806846108797	300.875061623377	2.05386457201389e-13	2.7284412392319e-11
AT5G51465	612	8.24781059880614	2.62686992850557	321.38256863207	2.07616898661111e-13	2.7356480297566e-11
AT2G22300	4103	0.968713703724207	6.22241081614049	299.685191283956	2.13086952714385e-13	2.78508084084036e-11
AT2G01540	1215	1.64999305616954	4.27518973916746	298.482638832015	2.21193875285971e-13	2.86791130940778e-11
AT1G30730	1946	6.05707165364929	3.15913231188663	323.326760474302	2.28563522722204e-13	2.93385529755119e-11
AT2G21520	2634	0.96286026601514	6.28014152457351	297.244042442461	2.29900427462826e-13	2.93385529755119e-11
AT5G14930	2202	1.99329749989065	5.20689911631043	296.825905135467	2.32924343148126e-13	2.94922252297006e-11
AT4G02050	2180	1.91431081988284	4.6082658673551	295.842416808818	2.40210958203507e-13	3.01790620124359e-11
AT4G18253	1042	6.22641844342616	2.7594474282756	312.815088398014	2.43403837255083e-13	3.03449691568702e-11
AT4G35600	1777	1.04697630925036	5.34042892735703	294.750962992161	2.48592722056161e-13	3.07552843233908e-11
AT1G14870	1092	5.39565272706121	3.19014166856623	316.661035008679	2.51125018074392e-13	3.07709840592808e-11
AT1G30640	2658	1.36331916291286	4.0257912329479	294.253817416265	2.52516868012855e-13	3.07709840592808e-11
AT2G19190	2700	7.66728136009802	3.84246252964679	343.97545325388	2.6129665528595e-13	3.12629519321036e-11
AT1G18890	2681	1.70130739780317	5.25028683478986	293.112581328652	2.61785647821006e-13	3.12629519321036e-11
AT1G51270	3205	2.76751727240065	4.07548915269371	296.554306670545	2.62341054036286e-13	3.12629519321036e-11
AT1G32700	1641	1.77075262246577	5.54042434151572	292.503579179293	2.66884631473411e-13	3.13532555375058e-11
AT3G51440	1329	3.27995665133525	3.61744375634551	297.699913170816	2.66967931398519e-13	3.13532555375058e-11
AT5G20500	826	1.13179598917348	5.17686781092628	291.174560793781	2.78396174210523e-13	3.24601927728773e-11
AT3G07520	2816	1.61539732595611	3.91450033440496	290.639435740254	2.83184777087298e-13	3.27826834446702e-11
AT5G04930	4659	1.3432835563314	6.94754300219871	290.043129615213	2.88627997794746e-13	3.31758436897833e-11
AT3G13380	4517	1.96145539897474	4.17250061374678	288.906944934821	2.99321157709001e-13	3.41291913538498e-11
AT5G62630	2489	2.04168010403674	4.46464802096161	288.471253997282	3.03536765263565e-13	3.41291913538498e-11
AT4G14610	2649	2.26302281385246	3.35338460602508	288.46554788673	3.03592407793428e-13	3.41291913538498e-11
AT1G65486	1033	4.73455387026476	3.57104692835713	313.52422834929	3.05345390652694e-13	3.41291913538498e-11
AT1G62310	5501	-1.27190277601286	5.10429910354011	285.972050098718	3.2901790712825e-13	3.65232412385449e-11
AT1G17290	2378	1.24773337195963	7.58236649598988	285.478382067026	3.34324858100139e-13	3.68598841852309e-11
AT3G17410	2070	1.13689278611194	6.80208483117138	284.327563336428	3.47066016193646e-13	3.80060738138542e-11
AT1G74360	3694	2.93789221849568	4.04746503828322	290.79650919065	3.50063979732927e-13	3.80770934196748e-11
AT1G64280	2614	1.28699894633138	5.3880058921814	282.218578756383	3.71826595408672e-13	4.01746242119223e-11
AT4G03450	2249	6.11039730281741	3.56099330683148	317.166139402739	3.84122713261993e-13	4.12283232704445e-11
AT1G65845	777	3.49284771181374	6.32147224079069	318.341873549521	3.88397528699038e-13	4.13437853044178e-11
AT3G26500	1855	4.27259377793918	3.13494359970997	290.818551715815	3.91692690829963e-13	4.13437853044178e-11
AT4G04500	2209	6.03033865367146	2.04911495188287	282.216994232156	3.92977126283318e-13	4.13437853044178e-11
AT5G45510	4318	1.51790993629956	8.77299713890802	280.226381602901	3.97013030139157e-13	4.13437853044178e-11
AT5G19250	928	1.29427503744022	6.80808221365104	280.154718781482	3.97953384802195e-13	4.13437853044178e-11
AT5G11920	2300	8.03979623682518	2.14737601225486	288.607567224733	4.1972396620185e-13	4.33278109569006e-11
AT1G68690	3534	2.11021037468841	3.01267842731338	277.939780207475	4.28262686270324e-13	4.39294516226781e-11
AT1G78290	1868	2.1353357897388	4.62413021496995	274.518721010255	4.84637105570786e-13	4.93994564150046e-11
AT5G44820	1338	2.12625830372826	2.95164470036965	273.868359799439	4.90832271179799e-13	4.97182413688187e-11
AT5G48380	2844	2.25288017064851	6.96654877411557	281.044395957615	4.9583699364091e-13	4.9913230782225e-11
AT3G29034	872	4.16047023665056	1.80051567667386	272.997929719899	5.05476855881575e-13	5.05695271806956e-11
AT2G38290	1979	1.66690599679883	4.74508201931427	271.085852823724	5.39365844905402e-13	5.33754078490803e-11
AT5G53370	2098	1.49553993765987	6.88733432811431	271.045350039879	5.40110254041413e-13	5.33754078490803e-11
