	drug transmembrane transport	drug transport
AT3G60490	0	0
AT2G27140	0	0
AT4G34250	0	0
AT5G56490	0	0
AT4G17480	0	0
AT2G39330	0	0
AT5G38120	0	0
AT1G73066	0	0
AT5G57130	0	0
AT3G14780	0	0
AT2G44570	0	0
AT2G26695	0	0
AT5G45520	0	0
AT2G27990	0	0
AT1G65970	0	0
AT1G65620	0	0
AT4G00480	0	0
AT4G02850	0	0
AT1G62660	0	0
AT4G34710	0	0
AT3G21950	0	0
AT1G34580	0	0
AT5G41120	0	0
AT4G24010	0	0
AT4G17470	0	0
AT3G14760	0	0
AT3G17580	0	0
AT4G19850	0	0
AT3G22740	0	0
AT5G60490	0	0
AT5G65609	0	0
AT4G25990	0	0
AT3G16120	0	0
AT4G36230	0	0
AT1G14440	0	0
AT3G18960	0	0
AT1G68500	0	0
AT5G37180	0	0
AT3G02030	0	0
AT3G50280	0	0
AT2G30424	0	0
AT1G09460	0	0
AT3G02040	0	0
AT1G31710	0	0
AT5G50820	0	0
AT4G04840	0	0
AT2G40330	0	0
AT3G16490	0	0
AT2G40080	0	0
AT4G19380	0	0
AT1G08730	0	0
AT1G56650	0	0
AT3G16470	0	0
AT1G10990	0	0
AT1G13790	0	0
AT3G59710	0	0
AT4G03490	0	0
AT5G60880	0	0
AT4G08950	0	0
AT4G15210	0	0
AT3G22415	0	0
AT5G20970	0	0
AT2G17470	0	0
AT1G68470	0	0
AT4G39070	0	0
AT3G09260	0	0
AT1G65910	0	0
AT5G02890	0	0
AT3G49570	0	0
AT3G45290	0	0
AT5G67411	0	0
AT3G22400	0	0
AT4G10310	0	0
AT5G05270	0	0
AT1G16390	0	0
AT5G40210	0	0
AT2G01913	0	0
AT5G02940	0	0
AT5G53200	0	0
AT1G24020	0	0
AT3G48350	0	0
AT1G20530	0	0
AT4G02290	0	0
AT3G57010	0	0
AT5G20420	0	0
AT4G35970	0	0
AT2G36870	0	0
AT1G31690	0	0
AT1G17665	0	0
AT3G03910	0	0
AT5G22940	0	0
AT2G03090	0	0
AT1G17190	0	0
AT4G35160	0	0
AT3G45680	0	0
AT4G01080	0	0
AT4G36360	0	0
AT5G61440	0	0
AT1G29980	0	0
AT5G07700	0	0
AT5G64060	0	0
AT1G19670	0	0
AT3G28290	0	0
AT2G29710	0	0
AT3G59510	0	0
AT2G32765	0	0
AT1G29160	0	0
AT5G23350	0	0
AT4G10420	0	0
AT3G15800	0	0
AT1G60390	0	0
AT1G64625	0	0
AT5G67210	0	0
AT3G49970	0	0
AT2G47180	0	0
AT4G20940	0	0
AT2G32510	0	0
AT5G52300	0	0
AT3G22840	0	0
AT3G10680	0	0
AT5G19170	0	0
AT1G10750	0	0
AT5G24780	0	0
AT4G11210	0	0
AT2G45900	0	0
AT1G14250	0	0
AT3G18530	0	0
AT4G18640	0	0
AT4G27590	0	0
AT5G67490	0	0
AT4G20970	0	0
AT5G51790	0	0
AT3G18670	0	0
AT4G19430	0	0
AT5G41315	0	0
AT1G70640	0	0
AT5G38010	0	0
AT4G37140	0	0
AT1G06350	0	0
AT3G51030	0	0
AT3G03170	0	0
AT1G68460	0	0
AT3G53980	0	0
AT1G19390	0	0
AT2G34360	0	0
AT1G64200	0	0
AT1G67820	0	0
AT1G75300	0	0
AT3G20450	0	0
AT4G30230	0	0
AT2G25625	0	0
AT3G11550	0	0
AT5G10625	0	0
AT2G40085	0	0
AT5G07660	0	0
AT1G74890	0	0
AT4G04830	0	0
AT5G26260	0	0
AT3G04290	0	0
AT2G31940	0	0
AT5G02550	0	0
AT3G13020	0	0
AT5G46530	0	0
AT1G76790	0	0
AT3G58070	0	0
AT4G18440	0	0
AT5G02370	0	0
AT2G34850	0	0
AT5G24390	0	0
AT5G66800	0	0
AT5G43935	0	0
AT1G73325	0	0
AT5G45150	0	0
AT1G05770	0	0
AT2G42840	0	0
AT3G55990	0	0
AT4G39010	0	0
AT3G26200	0	0
AT5G25370	0	0
AT4G13885	0	0
AT2G43530	0	0
AT5G14360	0	0
AT1G06180	0	0
AT1G19640	0	0
AT4G32780	0	0
AT5G20630	0	0
AT1G69325	0	0
AT1G45191	0	0
AT2G45080	0	0
AT1G19530	0	0
AT5G44050	0	0
AT5G06760	0	0
AT1G35910	0	0
AT5G02750	0	0
AT5G15500	0	0
AT1G17745	0	0
AT3G16460	0	0
AT2G42800	0	0
AT2G41190	0	0
AT4G37750	0	0
AT5G62165	0	0
AT3G20260	0	0
AT1G21090	0	0
AT5G06520	0	0
AT1G54010	0	0
AT3G51290	0	0
AT2G26700	0	0
AT4G08870	0	0
AT5G53210	0	0
AT3G12970	0	0
AT2G37870	0	0
AT4G02360	0	0
AT1G03170	0	0
AT3G18660	0	0
AT1G62975	0	0
AT5G08640	0	0
AT1G65890	0	0
AT2G45940	0	0
AT5G06870	0	0
AT5G20740	0	0
AT1G30760	0	0
AT5G49170	0	0
AT4G15990	0	0
AT3G60840	0	0
AT5G17160	0	0
AT3G46490	0	0
AT1G61120	0	0
AT5G09980	0	0
