	oligopeptide transmembrane transport	oligopeptide transport
AT4G21880	0	0
AT1G79410	0	0
AT2G16270	0	0
AT1G26960	0	0
AT1G32900	0	0
AT3G58100	0	0
AT5G05250	0	0
AT4G17460	0	0
AT2G21560	0	0
AT1G13250	0	0
AT5G10180	0	0
AT1G03270	0	0
AT1G68780	0	0
AT3G60290	0	0
AT1G76240	0	0
AT5G55480	0	0
AT3G46320	0	0
AT5G51540	0	0
AT3G18090	0	0
AT3G05890	0	0
AT1G74458	0	0
AT5G47440	0	0
AT1G27120	0	0
AT1G77590	0	0
AT4G23600	0	0
AT5G08000	0	0
AT3G54830	0	0
AT5G65390	0	0
AT1G11700	0	0
AT2G40960	0	0
AT1G08280	0	0
AT4G12730	0	0
AT5G02540	0	0
AT3G09450	0	0
AT2G30540	0	0
AT1G69523	0	0
AT1G75450	0	0
AT3G12610	0	0
AT4G33560	0	0
AT3G48240	0	0
AT3G45210	0	0
AT4G34900	0	0
AT5G24660	0	0
AT5G18020	0	0
AT1G15830	0	0
AT4G28780	0	0
AT4G09160	0	0
AT2G23560	0	0
AT4G26530	0	0
AT2G29980	0	0
AT1G52827	0	0
AT1G69526	0	0
AT2G33570	0	0
AT5G53486	0	0
AT5G18060	0	0
AT1G52700	0	0
AT4G27030	0	0
AT2G37025	0	0
AT2G21830	0	0
AT3G52720	0	0
AT2G46660	0	0
AT1G78940	0	0
AT1G19970	0	0
AT1G04520	0	0
AT1G05540	0	0
AT2G34925	0	0
AT3G28650	0	0
AT4G37800	0	0
AT5G23420	0	0
AT5G21430	0	0
AT2G01760	0	0
AT5G12110	0	0
AT3G20470	0	0
AT5G54130	0	0
AT3G61898	0	0
AT3G52670	0	0
AT5G24655	0	0
AT1G45201	0	0
AT1G18400	0	0
AT3G55240	0	0
AT1G70895	0	0
AT1G12010	0	0
AT1G01390	0	0
AT2G25640	0	0
AT5G26220	0	0
AT4G23690	0	0
AT2G19170	0	0
AT3G15720	0	0
AT5G25590	0	0
AT3G52910	0	0
AT4G24670	0	0
AT3G03840	0	0
AT5G59130	0	0
AT5G63160	0	0
AT5G11460	0	0
AT3G56330	0	0
AT1G63230	0	0
AT2G07690	0	0
AT3G44730	0	0
AT3G32980	0	0
AT4G25434	0	0
AT4G02810	0	0
AT2G19780	0	0
AT1G09750	0	0
AT2G34180	0	0
AT1G13740	0	0
AT2G37790	0	0
AT2G34060	0	0
AT2G23690	0	0
AT1G80270	0	0
AT5G01630	0	0
AT1G35730	0	0
AT1G25450	0	0
AT1G68600	0	0
AT1G27030	0	0
AT3G50120	0	0
AT5G39860	0	0
AT4G25950	0	0
AT1G64390	0	0
AT2G42980	0	0
AT3G44990	0	0
AT3G02410	0	0
AT5G65010	0	0
AT3G20640	0	0
AT3G09660	0	0
AT3G45940	0	0
AT5G18050	0	0
AT1G17700	0	0
AT4G31590	0	0
AT5G59240	0	0
AT1G77855	0	0
AT1G28400	0	0
AT3G04960	0	0
AT2G02150	0	0
AT3G55690	0	0
AT1G04570	0	0
AT1G75150	0	0
